R_in,G_in,B_in,R_out,G_out,B_out
416.877839,288.12758,443.359773,0.088715,0.062622,0.149027
602.885293,548.917853,601.626787,0.521232,0.462461,0.673258
256.649129,163.893451,266.195888,0.022101,0.014768,0.03083
576.798536,310.381191,492.209214,0.156833,0.076141,0.235328
461.893251,288.481022,422.820663,0.098176,0.06171,0.130126
571.170102,351.137261,534.329114,0.230273,0.117986,0.343097
575.457116,422.006415,535.431919,0.269201,0.180339,0.348334
595.61195,419.321989,558.696733,0.323644,0.196878,0.439983
572.135997,258.476015,449.124174,0.150277,0.059578,0.16157
491.167322,426.206488,475.28047,0.226773,0.173876,0.218357
599.188702,483.149947,562.146213,0.473309,0.303295,0.47372
623.006552,486.139733,544.987673,0.435939,0.299997,0.415413
623.296997,578.268991,587.452942,0.649233,0.564778,0.630338
504.459096,380.055522,440.941404,0.174411,0.119958,0.166316
663.86335,452.821681,569.258706,0.574232,0.272397,0.492773
638.763172,393.77655,493.085344,0.351196,0.159129,0.263471
649.642325,558.572745,582.832413,0.692434,0.520599,0.624902
549.747282,207.643092,353.590088,0.125255,0.039124,0.070525
620.749525,420.068689,500.415763,0.348854,0.187928,0.28104
613.231031,516.84061,552.373783,0.512403,0.367146,0.429753
669.111504,467.463241,536.453519,0.622931,0.29773,0.393985
648.560487,513.442759,542.188174,0.587073,0.378141,0.427471
581.348259,522.427108,526.583886,0.429056,0.362473,0.3733
502.054909,239.870095,376.912518,0.127327,0.051864,0.074943
667.477302,560.712604,564.952927,0.763217,0.527954,0.538325
645.832191,214.662919,409.005151,0.237333,0.049786,0.113641
637.445923,447.039775,536.539909,0.480653,0.250983,0.393361
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
